date,country,SiteName,Technology,updatedby,updatetime,Volume,fromfile
2024-01-01,France,Blenod-5,Gas,petroineos,2026-06-01 23:10:45.603800,6753.0,gas_fr_plants
2024-01-02,France,Blenod-5,Gas,petroineos,2026-06-01 23:10:45.603800,3896.0,gas_fr_plants
2024-01-03,France,Blenod-5,Gas,petroineos,2026-06-01 23:10:45.603800,3636.0,gas_fr_plants
2024-01-04,France,Blenod-5,Gas,petroineos,2026-06-01 23:10:45.603800,5138.0,gas_fr_plants
2024-01-05,France,Blenod-5,Gas,petroineos,2026-06-01 23:10:45.603800,5265.0,gas_fr_plants
2024-01-06,France,Blenod-5,Gas,petroineos,2026-06-01 23:10:45.603800,5052.0,gas_fr_plants
2024-01-07,France,Blenod-5,Gas,petroineos,2026-06-01 23:10:45.603800,6136.0,gas_fr_plants
2024-01-08,France,Blenod-5,Gas,petroineos,2026-06-01 23:10:45.603800,5554.0,gas_fr_plants
2024-01-09,France,Blenod-5,Gas,petroineos,2026-06-01 23:10:45.603800,3533.0,gas_fr_plants
2024-01-10,France,Blenod-5,Gas,petroineos,2026-06-01 23:10:45.603800,5835.0,gas_fr_plants
2024-01-11,France,Blenod-5,Gas,petroineos,2026-06-01 23:10:45.603800,4914.0,gas_fr_plants
2024-01-12,France,Blenod-5,Gas,petroineos,2026-06-01 23:10:45.603800,6393.0,gas_fr_plants
2024-01-13,France,Blenod-5,Gas,petroineos,2026-06-01 23:10:45.603800,6360.0,gas_fr_plants
2024-01-14,France,Blenod-5,Gas,petroineos,2026-06-01 23:10:45.603800,5534.0,gas_fr_plants
2024-01-15,France,Blenod-5,Gas,petroineos,2026-06-01 23:10:45.603800,4809.0,gas_fr_plants
2024-01-16,France,Blenod-5,Gas,petroineos,2026-06-01 23:10:45.603800,6890.0,gas_fr_plants
2024-01-17,France,Blenod-5,Gas,petroineos,2026-06-01 23:10:45.603800,4912.0,gas_fr_plants
2024-01-18,France,Blenod-5,Gas,petroineos,2026-06-01 23:10:45.603800,3295.0,gas_fr_plants
2024-01-19,France,Blenod-5,Gas,petroineos,2026-06-01 23:10:45.603800,4808.0,gas_fr_plants
2024-01-20,France,Blenod-5,Gas,petroineos,2026-06-01 23:10:45.603800,5244.0,gas_fr_plants
2024-01-21,France,Blenod-5,Gas,petroineos,2026-06-01 23:10:45.603800,5270.0,gas_fr_plants
2024-01-22,France,Blenod-5,Gas,petroineos,2026-06-01 23:10:45.603800,4784.0,gas_fr_plants
2024-01-23,France,Blenod-5,Gas,petroineos,2026-06-01 23:10:45.603800,6627.0,gas_fr_plants
2024-01-24,France,Blenod-5,Gas,petroineos,2026-06-01 23:10:45.603800,4324.0,gas_fr_plants
2024-01-25,France,Blenod-5,Gas,petroineos,2026-06-01 23:10:45.603800,4405.0,gas_fr_plants
2024-01-26,France,Blenod-5,Gas,petroineos,2026-06-01 23:10:45.603800,5643.0,gas_fr_plants
2024-01-27,France,Blenod-5,Gas,petroineos,2026-06-01 23:10:45.603800,4705.0,gas_fr_plants
2024-01-28,France,Blenod-5,Gas,petroineos,2026-06-01 23:10:45.603800,5810.0,gas_fr_plants
2024-01-29,France,Blenod-5,Gas,petroineos,2026-06-01 23:10:45.603800,6190.0,gas_fr_plants
2024-01-30,France,Blenod-5,Gas,petroineos,2026-06-01 23:10:45.603800,6101.0,gas_fr_plants
2024-01-31,France,Blenod-5,Gas,petroineos,2026-06-01 23:10:45.603800,3347.0,gas_fr_plants
2024-02-01,France,Blenod-5,Gas,petroineos,2026-06-01 23:10:45.603800,3648.0,gas_fr_plants
2024-02-02,France,Blenod-5,Gas,petroineos,2026-06-01 23:10:45.603800,6059.0,gas_fr_plants
2024-02-03,France,Blenod-5,Gas,petroineos,2026-06-01 23:10:45.603800,4576.0,gas_fr_plants
2024-02-04,France,Blenod-5,Gas,petroineos,2026-06-01 23:10:45.603800,4906.0,gas_fr_plants
2024-02-05,France,Blenod-5,Gas,petroineos,2026-06-01 23:10:45.603800,3632.0,gas_fr_plants
2024-02-06,France,Blenod-5,Gas,petroineos,2026-06-01 23:10:45.603800,4285.0,gas_fr_plants
2024-02-07,France,Blenod-5,Gas,petroineos,2026-06-01 23:10:45.603800,3934.0,gas_fr_plants
2024-02-08,France,Blenod-5,Gas,petroineos,2026-06-01 23:10:45.603800,6413.0,gas_fr_plants
2024-02-09,France,Blenod-5,Gas,petroineos,2026-06-01 23:10:45.603800,6350.0,gas_fr_plants
2024-02-10,France,Blenod-5,Gas,petroineos,2026-06-01 23:10:45.603800,3818.0,gas_fr_plants
2024-02-11,France,Blenod-5,Gas,petroineos,2026-06-01 23:10:45.603800,6417.0,gas_fr_plants
2024-02-12,France,Blenod-5,Gas,petroineos,2026-06-01 23:10:45.603800,6895.0,gas_fr_plants
2024-02-13,France,Blenod-5,Gas,petroineos,2026-06-01 23:10:45.603800,4590.0,gas_fr_plants
2024-02-14,France,Blenod-5,Gas,petroineos,2026-06-01 23:10:45.603800,3720.0,gas_fr_plants
2024-02-15,France,Blenod-5,Gas,petroineos,2026-06-01 23:10:45.603800,4506.0,gas_fr_plants
2024-02-16,France,Blenod-5,Gas,petroineos,2026-06-01 23:10:45.603800,5881.0,gas_fr_plants
2024-02-17,France,Blenod-5,Gas,petroineos,2026-06-01 23:10:45.603800,5635.0,gas_fr_plants
2024-02-18,France,Blenod-5,Gas,petroineos,2026-06-01 23:10:45.603800,4108.0,gas_fr_plants
2024-02-19,France,Blenod-5,Gas,petroineos,2026-06-01 23:10:45.603800,3851.0,gas_fr_plants
2024-02-20,France,Blenod-5,Gas,petroineos,2026-06-01 23:10:45.603800,6155.0,gas_fr_plants
2024-02-21,France,Blenod-5,Gas,petroineos,2026-06-01 23:10:45.603800,5208.0,gas_fr_plants
2024-02-22,France,Blenod-5,Gas,petroineos,2026-06-01 23:10:45.603800,3489.0,gas_fr_plants
2024-02-23,France,Blenod-5,Gas,petroineos,2026-06-01 23:10:45.603800,4284.0,gas_fr_plants
2024-02-24,France,Blenod-5,Gas,petroineos,2026-06-01 23:10:45.603800,5529.0,gas_fr_plants
2024-02-25,France,Blenod-5,Gas,petroineos,2026-06-01 23:10:45.603800,6495.0,gas_fr_plants
2024-02-26,France,Blenod-5,Gas,petroineos,2026-06-01 23:10:45.603800,3556.0,gas_fr_plants
2024-02-27,France,Blenod-5,Gas,petroineos,2026-06-01 23:10:45.603800,5703.0,gas_fr_plants
2024-02-28,France,Blenod-5,Gas,petroineos,2026-06-01 23:10:45.603800,3866.0,gas_fr_plants
2024-02-29,France,Blenod-5,Gas,petroineos,2026-06-01 23:10:45.603800,4298.0,gas_fr_plants
2024-03-01,France,Blenod-5,Gas,petroineos,2026-06-01 23:10:45.603800,5206.0,gas_fr_plants
2024-03-02,France,Blenod-5,Gas,petroineos,2026-06-01 23:10:45.603800,3541.0,gas_fr_plants
2024-03-03,France,Blenod-5,Gas,petroineos,2026-06-01 23:10:45.603800,5206.0,gas_fr_plants
2024-03-04,France,Blenod-5,Gas,petroineos,2026-06-01 23:10:45.603800,4498.0,gas_fr_plants
2024-03-05,France,Blenod-5,Gas,petroineos,2026-06-01 23:10:45.603800,6179.0,gas_fr_plants
2024-03-06,France,Blenod-5,Gas,petroineos,2026-06-01 23:10:45.603800,4342.0,gas_fr_plants
2024-03-07,France,Blenod-5,Gas,petroineos,2026-06-01 23:10:45.603800,5712.0,gas_fr_plants
2024-03-08,France,Blenod-5,Gas,petroineos,2026-06-01 23:10:45.603800,4607.0,gas_fr_plants
